Country,Sub Region 1,Sub Region 2,Country_Code,female_unpaid_domestic_work,male_unpaid_domestic_work,Wife_decision_health,Wife_decision_household_purchase,Women_in_food_decision,death_injury_15_34_female,death_injury_15_34_male,death_injury_35_59_female,death_injury_35_59_male,female_mortality_poisonning,male_mortality_poisonning,female_mortality_air_pollution,male_mortality_air_pollution,cooking_inside,cooking_outdoors,fuel_crops,fuel_charcoal,fuel_dung,fuel_electricity,fuel_gas,fuel_straw,fuel_wood,clean_fuel
Afghanistan,Middle East,Other Middle Eastern Countries,AFG,,,4.8,2.2,,33.1,74.8,12.1,33.1,1.9,0.5,195,229,55.3,17.4,6.2,0.7,19.2,0.2,32.6,16.9,23.2,32.44
Albania,Eastern Europe,Eastern Europe,ALB,21.74,3.47,19,5.6,,31.5,50.3,6.7,31.5,0.4,0.5,55,82,92.9,1.9,,0.1,,12.5,55.7,,31.5,77.42
Algeria,North Africa,Arab States,DZA,22.08,3.75,,,,26.4,68.3,9.4,26.4,0.6,0.9,44,55,,,,,,,,,,92.62
Andorra,Western Europe,Western Europe,AND,,,,,,,,,,,,,,,,,,,,,,,100
Angola,Africa (Sub-Saharan),Central Africa,AGO,,,21.6,32.6,,13.5,35.1,4.7,13.5,2,3.4,117,120,60.8,13.6,,15.2,0.4,1.4,48.4,0.1,32.7,48.05
Anguilla,Caribbean Countries,Caribbean Countries,AIA,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Caribbean Countries,Caribbean Countries,ATG,,,,,,21.3,58.7,4.3,21.3,0.4,0.3,24,37,,,,,,,,,,98.75
Argentina,Latin America,South America,ARG,,,,,,,,,,,,,,,,,,,,,,,98.4
Armenia,Eastern Europe,Eastern Europe,ARM,21.67,4.38,28,15.2,79.9,18.5,56,4.7,18.5,0.4,0.9,38,78,97.9,0.1,0,0,0.3,2.6,94.2,0,2.9,96.9
Aruba,Western Europe,Western Europe,ABW,,,,,,,,,,,,,,,,,,,,,,,
Australia,Australia & New Zealand,Australia,AUS,20.83,11.39,,,,41.3,58.8,9.6,41.3,0.2,0.2,7,10,,,,,,,,,,100
Austria,Western Europe,Western Europe,AUT,16.94,8.68,,,,36.3,55.4,10.5,36.3,0.2,0.3,12,19,,,,,,,,,,100
Azerbaijan,Eastern Europe,Eastern Europe,AZE,25.42,8.89,20.1,11.6,,18.9,41.9,4.8,18.9,0.3,0.8,51,80,79.2,10.1,,0.5,0.4,20.4,69.5,,8.7,95.54
Bahamas,Caribbean Countries,Caribbean Countries,BHS,,,,,,19.3,51.8,5.4,19.3,0.1,0.2,15,26,,,,,,,,,,100
Bahrain,Middle East,Arab States,BHR,,,,,,24,53,5.6,24,0.1,0.3,35,45,,,,,,,,,,100
Bangladesh,South Asia,South Asia,BGD,,,14.1,8.3,79.7,27.2,44,5.2,27.2,0.2,0.3,137,161,15,16.7,24.3,0.3,6.8,0.4,16.9,1.1,49.6,17.72
Barbados,Caribbean Countries,Caribbean Countries,BRB,,,,,,22.7,45.8,4.9,22.7,0.2,0.2,25,39,,,,,,,,,,99.44
Belarus,Eastern Europe,Eastern Europe,BLR,9.51,19.17,,,,33.9,54.6,11.6,33.9,1.1,4.3,40,94,,,,,,,,,,98.18
Belgium,Western Europe,Western Europe,BEL,10.07,15.9,,,,39.7,61.5,14.3,39.7,0.2,0.3,12,21,,,,,,,,,,100
Belize,Latin America,Central America,BLZ,,,,,,19.8,59.8,6.9,19.8,0.3,0.7,55,83,,,,,,,,,,85.43
Benin,Africa (Sub-Saharan),West Africa,BEN,,,17,10.4,77,13.1,32.5,7.9,13.1,2.7,4.3,193,219,34.7,50.4,0,25.7,0.1,0,5.9,0.5,65.3,6.44
Bermuda,Western Europe,Western Europe,BMU,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,South Asia,South Asia,BTN,5.07,13.26,,,,22.2,35.4,8.5,22.2,0.5,0.7,130,120,,,,,,,,,,52.5
Bolivia,Latin America,South America,BOL,5.42,20.83,37.9,14,92.8,30.4,57.5,9.3,30.4,1.4,2.6,56,72,,,,,2.4,0.5,66.5,3.1,27.8,64
Bosnia and Herzegovina,Eastern Europe,Eastern Europe,BIH,,,,,,26.6,65.2,6,26.6,0.4,0.6,62,101,,,,,,,,,,63.38
Botswana,Africa (Sub-Saharan),South Africa,BWA,,,,,,10.6,33.2,6.3,10.6,1.1,1.2,88,120,,,,,,,,,,64.08
Brazil,Latin America,South America,BRA,13.33,3.13,,,,31.3,70,7.1,31.3,0.2,0.2,24,37,,,,,,,,,,95.59
British Virgin Islands,Western Europe,Western Europe,VGB,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,East Asia,East Asia,BRN,,,,,,20.6,43,7.2,20.6,0.2,0.4,11,15,,,,,,,,,,100
Bulgaria,Eastern Europe,Eastern Europe,BGR,18.47,9.24,,,,22.6,41,4.1,22.6,0.4,0.8,45,82,,,,,,,,,,88.65
Burkina Faso,Africa (Sub-Saharan),West Africa,BFA,,,7.9,3.6,67.2,15.6,36.2,8.5,15.6,2.6,3.4,194,223,8.6,66.2,0,6.4,0,0,10.3,0.1,80.6,8.93
Burundi,Africa (Sub-Saharan),East Africa,BDI,,,13.6,7.9,,11.6,34.3,6,11.6,3.7,6.8,173,187,46,7.3,0.2,12.9,0,0.1,0,8.3,77.2,0.85
Cambodia,East Asia,East Asia,KHM,12.5,1.25,46.4,17.2,,23,42.3,6.9,23,0.5,0.7,140,164,40.4,32.1,0.2,7.9,0.1,0.8,15,0,75.6,17.69
Cameroon,Africa (Sub-Saharan),Central Africa,CMR,,,15.5,16.4,81.7,9.7,32.5,4.6,9.7,2.2,4,190,228,29.9,23.3,0.4,2.4,0.2,0.1,18.3,0.7,70.5,23.04
